Assamese_Sentence	English_Translation
কিন্তু মই গোটেই বিষয়টো তেওঁলোকৰ বাবে স্পষ্ট কৰি দিব বিচাৰো।	But I want to make the whole thing clear to them.
অচিৰেই ভাল দিন-বাৰ চাই মুকলি কৰা হৱ নদীৰ ওপৰত নিৰ্মাণ কৰা দেশৰ আটাইতকৈ দীঘল ৰপ ৱে’টো ।	Soon, the country's longest ropeway, built over the river, will be thrown open for public on a good day and night.....??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
বৈঠকৰ অন্ত: ছোনিয়া গান্ধীয়েই অধ্যক্ষ হৈ থাকিব কংগ্ৰেছৰ...	Sonia Gandhi to continue as Congress president
জিলাখনত ইতিমধ্যে ২৫,৭০৩ জন লোকক মুক্তি কৰি দিয়া হয়।	As many as 25,703 people have already been discharged in the district.
চৰকাৰে এই কথা খুলি নকলেও প্ৰধানমন্ত্ৰী নৰেন্দ্ৰ মোডীয়ে দেশৰ অৰ্থনীতিক লৈ সঘনাই আয়োজন কৰা বৈঠকসমূহে তাকেই সূচাইছে।	While the government has not opened up, Prime Minister Narendra Modi's frequent meetings on the country's economy suggest so.
অগণন সাংবাদিক নিগৃহীত হৈছিল।	Countless journalists were killed.
মহানগৰীৰ জি এম চি এইচৰ প্ৰেক্ষাগৃহত অনুষ্ঠিত এক অনুষ্ঠানত আত্মসমৰ্পণ কৰে এন ডি এফ বিৰ সদস্যসকলে।	The NDFB members surrendered at a ceremony held at the GMCH premises in the city.
জানিব পৰা মতে, বিহুবৰৰ পৰা চূনপূৰা পৰ্যন্ত আহি এই এজেন্টে ড্ৰাগছ যোগান দি যায়হি।	Reportedly, the agent used to supply drugs from Bihubar to Choonpura.
কেবাখনো অগ্নি নিৰ্বাপক বাহিনীৰ গাড়ীৰ জুই নিৰ্বাপনৰ চেষ্টা।	Several fire engines are trying to douse the flames.
স্বামী বিবেকানন্দই সেইবাবে কর্মযােগৰ প্রতি অধিক গুৰুত্ব আৰােপ কৰিছিল।	Swami Vivekananda, therefore, gave more importance to Karmayoga.
এই বিচাৰ প্ৰক্ৰিয়া ফাষ্টট্ৰেক আদালতৰ জৰিয়তে সমাপন কৰাৰ বাবে চৰকাৰে ন্যায়ালয়ক অনুৰোধ জনাব৷	The government will request the court to conclude the trial through a fast-track court.
সভাত কৃষি মন্ত্ৰী অতুল বৰা, ৰাজ্যিক বিজেপিৰ সভাপতি ভৱেশ কলিতা মন্ত্ৰী ৰনোজ পেগু,মিচিং স্বায়ত্ব শাসিত পৰিষদৰ অধ্যক্ষ সুনীল পেগুৱেও ভাষণ প্ৰদান কৰে।	The meeting was also addressed by Agriculture Minister Atul Bora, State BJP President Bhabesh Kalita, Minister Ranoj Pegu, Chairman of Mising Autonomous Council Sunil Pegu.
কিন্তু যোৱাৰ সময়ত এই ট্রাকবোৰত আমি আমাৰ উৎপাদিত সামগ্রী পঠিয়াই দিব নোৱাৰোঁ৷	But while going, we cannot send our produce in these trucks.
ইয়াৰোপৰি প্ৰতিবাদৰ নামত অৰাজকতাৰ সৃষ্টি কৰি বিশ্ববিদ্যালয়ৰ শৈক্ষিক পৰিৱেশো বিনষ্ট কৰা হৈছিল।	In addition, the academic atmosphere of the university was also vitiated by creating anarchy in the name of protests.
পৰ্যাপ্ত পৰিমাণৰ খাদ্য সামগ্ৰী, খোৱাপানীৰ নাটনি হৈছে একাংশ শিবিৰত।	Adequate food supplies, drinking water are lacking in some of the camps.
অসমত ৭খন আসনত আগবাঢ়ি আছে বিজেপি	BJP leading in 7 seats in Assam
দিল্লীৰ গোবিন্দপুৰত এজন লোকক মৰিয়াই মৰিয়াই হত্যা	Man beaten to death in Delhi's Govindpur
’‘আমি কৰা ভুলৰ আলোচনাৰ বাবে আজিৰ দিনটো সঠিক দিন নহয়।	"""Today is not the right day to discuss the mistakes we made."
মথুৰাপুৰ আৰক্ষী থানাৰ কিছু নিলগত বৃহস্পতিবাৰে পুৱাই মথুৰাপুৰ ধোদৰ আলিত এক ভয়ংকৰ পথ দুৰ্ঘটনা সংঘটিত হয় ৷	A fatal road accident took place in Mathurapur Dhodar Aali on Thursday morning under the jurisdiction of Mathurapur police station.
ওদালগুৰিত পৰম্পৰাৰ সমান্তৰালভাৱে কা বিৰোধী প্ৰতিবাদ, ৩৩ খন জিলাৰ নামত মেজি সাজি কা দাহ কৰিব ৰাইজে	Anti-Ka protest in Udalguri in line with tradition, people to burn Meji Saji Ka in the name of 33 districts
কেনেকৈ সি আমাৰ মাজৰ পৰা হেৰাই গ’ল, সেই কথা মই ভাবিব নোৱাৰোঁ৷	I can't think how he disappeared from our midst.
কাৰণ এই সময়ছোৱাত দেশৰ প্রাক্তন সাংসদ তথা কিম জং–উনৰ পিতৃ কিম জং–ইলৰ মৃত্যুবার্ষিকীৰ শোক দিৱস পালন কৰিব চৰকাৰে৷	Because during this time, the government will observe a day of mourning on the death anniversary of Kim Jong-il, the country's former parliamentarian and Kim Jong-un's father.
’ আনহাতে তেওঁৰ ওপৰত ৰাজনৈতিক পক্ষপাতিত্বক লৈ উত্থাপন সন্দৰ্ভত সাংবাদিকে সোধা প্ৰশ্নৰ উত্তৰ দি চিডিএছ গৰাকীয়ে কয়, আমি ৰাজনীতিৰ পৰা বহু দূৰত থাকো, বহুত দূৰত।	"""When asked by reporters about the political bias against him, the CDS said,"" ""We stay far, far away from politics."" """""
ৰাজ্যিক পর্যায়ত গঠিত এই কমিটীখনে প্রতি বছৰে জব্দ হোৱা খড়গসমূহ পৰীক্ষা কৰি কিছুসংখ্যক সংৰক্ষিত কৰি ৰখাৰ বিপৰীতে বাকীসমূহ জ্বলাই অথবা ধ্বংস কৰি দিয়াৰ ব্যৱস্থা গ্রহণ কৰি আহিছে৷	The committee, which is constituted at the state level, has been inspecting the seized khadgas every year and reserving some while burning or destroying the rest.
ইয়াৰ মাজতে অনুষ্ঠিত হ’ব ভোগালী বিহু।	Bhogali Bihu will be held in between.
তেনে কোনো ঘটনা আৰক্ষীয়ে ঘটা নাই বুলি কোৱাত তেওঁৰ এই পোষ্টৰ সত্যতা কিমান তাক লৈ প্রশ্ন কৰিছিলো।	On being told that no such incident had taken place, I questioned the veracity of his post.
শিৱস্থান আৰক্ষী চকীত উত্তপ্ত পৰিস্থিতিঃ প্ৰতিবাদকাৰীৰ শিলাবৰ্ষণ, আৰক্ষীৰ লাঠিচালনা	Tense situation at Shivsthan police post: Protesters pelt stones, police resort to lathicharge
তেওঁ কয়– ড্রাইবেল বেল্ট আৰু ব্লকসমূহত গোর্খা সম্প্রদায়ৰ লোকসকলক প্রটেক্টেড ক্লাছ হিচাপে স্বীকৃতি প্রদান কৰিছে৷	He said Gorkhas have been recognised as a protected class in dry belt and blocks.
চিকিৎসক সুমন সাহাৰ নেতৃত্বত ৬জনীয়া চিকিৎসকৰ দল এটাই চলোৱা অস্ত্ৰোপচাৰত কিশোৰীগৰাকীৰ পেটৰ পৰা প্ৰায় ১ কেজি ওজনৰ এটা চুলিৰ লাড়ু বাহিৰ হয়।	In the operation, which was carried out by a team of 6 doctors led by Dr. Suman Saha, a hair ball weighing about 1 kg came out of the boy's stomach.
ৰেল বিভাগৰ মতে,  গীতাই কাম কৰা পোষ্টটোৰ নাম পয়েন্ট মেন।	According to the railway department, the post where Geeta works is named Point Man.
নিৰ্বাচনলৈ মাজত মাত্ৰ কেইটামান দিন থকাৰ সময়তে দেওবাৰে লামডিং ৰেলৱে ষ্টেচনত জব্দ কৰিলে বৃহৎ পৰিমানৰ অৰুণাচলী সুৰা ৷	With just a few days left for the elections, a large quantity of Arunachali liquor was seized at Lumding railway station on Sunday.
কিন্তু সেই ডিপিআৰ নাকচ হোৱাত পুনৰ ছেপ্টেম্বৰত আন এক ডিপিআৰ জমা দিয়া হয়।	However, when that DPR was rejected, another DPR was submitted again in September.
আগৰ পৰাই কল ডোঙা বনাই থকা আদহীয়া কেইজনে কলপুলি পুতি থাপনা পাতি থোৱা ঠাইখন আকৌ এবাৰ পানী চতিয়াই পৰিষ্কাৰ কৰাত লাগি যায়।	A few people, who were already making a banana boat, once again got into the act of cleaning the place where Kalpuli Puti Thapana was kept by sprinkling water on it.
এইবাৰ আইপিএলৰ বিভিন্ন ফ্ৰেঞ্চাইজীৰ পৰা ইতিমধ্যে প্ৰস্তাৱ লাভ কৰা আৰম্ভ কৰিছে ভাৰতীয় দলৰ মূখ্য প্ৰশিক্ষকগৰাকীয়ে।	This time, the head coach of the Indian team has already started receiving offers from various IPL franchises.
অলিম্পিকত ভাৰতীয় ক্ৰীড়াবিদসকলৰ সাফল্যোৎসৱে দেশৰ ক্ৰীড়াক্ষেত্ৰত আনি দিয়া আলোড়নত উদ্দীপ্ত হৈ উঠক ক্ৰীড়ামঞ্চ।	Sportspersons will be inspired by the success of Indian sportspersons at the Olympics and the excitement it will bring to the country's sporting arena.
দেশত অমিক্রনত আক্রান্তৰ সংখ্যা ৮,৯৬১জনলৈ বৃদ্ধি পাইছে৷	The number of Omicron cases in the country has risen to 8,961.
ফেচবুকত নিজৰ পৰিচয় দাঙি ধৰি তেওঁ লিখা কথাকেইটাই বিশেষ তাৎপৰ্য বহন কৰে।	What he wrote introducing himself on Facebook is of particular significance.
ইফালে এই ঘটনাৰ সমগ্ৰ দৃশ্য নিৰ্যাতিত যুৱতীগৰাকীৰ বান্ধৱী গৰাকীৰ মবাইল ফোনত আবদ্ধ কৰি ৰাখে ।	Meanwhile, the entire scene of the incident is secretly captured on the mobile phone of the girl's friend.
কিন্তু এলিফেণ্ট কৰিডৰ হিচাপে পৰিচিত দীপৰ বিলৰ দক্ষিণ দিশত থকা কামাখ্যা-আজাৰা সংযোগী ৰেলপথৰ দাঁতিয়েদি প্ৰকৃতিপ্ৰেমী সংগঠনৰ বাধা নেওচিও আন এটা ৰেলপথ অৰ্থাৎ দ্বৈত ৰেলপথ নিৰ্মাণ কৰিবলৈ ৰেলৱে মন্ত্ৰণালয়ে কাম আৰম্ভ কৰাত বৃহত্তৰ চকৰদৌ অঞ্চলৰ বাসিন্দা সকল শংকিত হৈ পৰিছে।	However, the residents of the greater Chakardau area are apprehensive as the Railway Ministry has started work to construct another railway line i.e. a double line without obstructing the nature-loving organizations along the Kamakhya-Azara link railway line on the southern side of Deepor Beel, known as the Elephant Corridor.
হাইলাকান্দিত সাংবাদিকক আক্ৰমণ আৰক্ষীৰ, শিলচৰত প্ৰতিবাদ	Journalists attacked by police in Hailakandi, protests in Silchar
’’ এইয়া এজন যুৱকৰ ভাবুকি।	"""This is a young man's threat."
ৰাষ্ট্ৰদ্ৰোহৰ গোচৰত গ্ৰেপ্তাৰ কৃষক নেতা অখিল গগৈক।	Peasant leader Akhil Gogoi arrested in sedition case
আজি ৰিঙত নামিব অলিম্পিয়ান শিৱ থাপা।	Jumping into the ring today is Olympian Shiva Thapa.
ৰাস্তাৰ বালি-মাটি পৰিষ্কাৰ নকৰাকৈ বিতুমিন পকীকৰণ কৰাৰ ২৪ ঘণ্টা পাৰ নৌহওতেই ডেৰ কিলোমিটাৰ ৰাস্তাৰ পকী অংশ উঠি যায়।	The unpaved portion of the one-and-a-half-kilometre road climbs 24 hours after the bitumen paving without clearing the sand-soil of the road.
কিন্তু সেই ধন ঘূৰাই দিয়াৰ নাম নল’লে ভুৱা প্ৰেমিকে।	But the fake lover did not take the name of returning the money.
জনতা কাৰ্ফিউ অৰ্থাৎ জনতাৰ বাবে জনতাই নিজৰ বাবে লগোৱা কাৰ্ফিউ।	Janta curfew means a curfew imposed by the people for the people for themselves.
বৃহত্‍ ফাট মেলাত মূল ৰাজ্যিক ঘাইপথতো খহি পৰাৰ আশংকা সৃষ্টি হোৱাৰ লগতে কালভাৰ্ট দুটাত যি কোনো মুহূৰ্তত দুৰ্ঘটনা সংঘটিত হোৱাৰ সম্ভাৱনাই দেখা দিছে।	Massive cracks have created a risk of collapse on the main state highway as well as accidents on the two culverts at any moment.
অৱশেষত শনিবাৰে মুকলি আকাশৰ তললৈ আহিল দুই কৃষক নেতা সোণেশ্বৰ নৰহ আৰু প্ৰণৱ দলে৷	Finally, on Saturday, two farmer leaders, Soneshwar Narah and Pranav Dal, came under the open sky.
পৰ্যালোচনাতে ব্যস্ত থকা বিভাগে বৰ্তমানলৈকে গাহৰিৰ এনে অস্বাভাৱিক মৃত্যুৰ কাৰণ উদঘাটন কৰিব পৰা নাই।	The department, which is engaged in the review, has not been able to ascertain the cause of such unusual death of pigs so far.
পিছত চিকিৎসকে উন্নত চিকিৎসাৰ বাবে ছাত্ৰী গৰাকীক গুৱাহাটীলৈ প্ৰেৰণ কৰে যদিও গুৱাহাটী চিকিৎসা মহাবিদ্যালয়লৈ নি থকা অৱস্থাতে মৃত্যু হয় ছাত্ৰীগৰাকীৰ৷	Later, doctors referred the student to Guwahati for better treatment, but she died on the way to the Gauhati Medical College and Hospital.
ইপিনে অসম অভিমুখে খোজকাঢ়ি আহি থকা ব্যক্তিৰ যাতায়ত আজিও অব্যাহত আছে বুলি জানিবলৈ দিয়ে৷	Similarly, the movement of people walking towards Assam continues even today.
লখিমপুৰত ১২ হাজাৰ পৰিয়াললৈ সাহায্য বিজেপি নেতাৰ	BJP leader helps 12,000 families in Lakhimpur
ইফালে, লাভলীনাৰ ঘৰত বৃহৎ কেক কাটি অলিম্পিক বিজয় উৎসৱ পালন কৰা হয়৷	Meanwhile, at Lovlina's house, the Olympic victory is celebrated by cutting a huge cake.
মন্ত্রীগৰাকীৰ এই মন্তব্যৰ পিছতে তেওঁৰ বিৰুদ্ধে নাছিক শিৱসেনা গোটৰ মুৰব্বীয়ে চাইবাৰ থানাত এক অভিযোগ দাখিল কৰিছিল৷	Following the minister's statement, a complaint was filed against him by the Nashik Shiv Sena unit chief at the Cyber police station.
আনহাতে,  পালংঘাট আৰক্ষীয়ে  পুনিচেৰা আৰু বিলটিলাৰ জুৱাৰ ঘাটিত অভিযান চলাই  অভিষেক ঠাকুৰ, প্ৰদীপ বাকতী, অজয় ৰী, নন্দলাল ভূমিজ আৰু স্পপন ভূমিজক গ্ৰেপ্তাৰ কৰে ৷	On the other hand, Palanghat police raided the gambling dens of Punishera and Biltila and arrested Abhishek Thakur, Pradeep Bakti, Ajay Ri, Nandalal Bhumij and Sapan Bhumij.
ইতিমধ্যে ফেৰী দুর্ঘটনা সন্দর্ভত আৰক্ষীয়ে প্রথমে আভ্যন্তৰীণ জল পৰিবহণ বিভাগৰ ৭জন সাধাৰণ কর্মচাৰী আৰু মা কমলা নামৰ দুর্ঘটনাগ্রস্ত ফেৰীখনৰ ৪জন কর্মচাৰীক গ্রেপ্তাৰ কৰাৰ পিছত কালি ফেৰী মাফিয়া তথা ফেৰীখনৰ মালিক পানীৰাম কলিতাক ডিব্রুগডৰ এখন ব্যক্তিগত নার্ছিং হোমৰ পৰা গ্রেপ্তাৰ কৰে৷	Meanwhile, after initially arresting 7 general staff of Inland Water Transport Department and 4 staff of the ill-fated ferry named Maa Kamala in connection with the ferry mishap, police yesterday arrested ferry mafia and owner of the ferry Paniram Kalita from a private nursing home in Dibrugarh.
তেনেদৰে বাৰ, দোকান, হোটেল, ৰেষুটৰেণ্ট তথা ৰাজহুৱা স্থানত যিকোনো প্রকাৰৰ মাদক দ্রব্য অথবা নিচাজাতীয় দ্রব্যৰ সেৱন আৰু ব্যৱহাৰৰ ওপৰত বাধা আৰোপ কৰা হৈছে ড্রাই ডে’ৰ সময়ছোৱাত৷	Similarly, the consumption and use of any form of intoxicants or narcotic substances in bars, shops, hotels, restaurants and public places are prohibited during the dry days.
উল্লেখ্যযে লোকজন প্ৰাক্তন বি. এল.টি.  কেডাৰ বুলি জানিব পৰা গৈছে।	It is to be noted that the person is reported to be a former B এল.টি cadre.
মৰিয়নিত আৰ্তজনৰ কাষত আটাছু আৰু শীতলা বাড়ী পূজা পৰিচালনা সমিতি	Atashu and Sheetla Badi Puja Management Committee near Artisan in Mariani
অৱশ্য আৰক্ষীৰ তদন্তৰ পিছতহে পোহৰলৈ আহিব এই সমগ্ৰ ঘটনাৰ প্ৰকৃত তথ্য।	The truth behind the incident will be revealed after thorough investigation.
তাৰে এটা জুলীয়া আৰু আনটো আছিল ‘Dermigal OC’মানুহজনক সেই ঔষধটোৰ প্ৰয়োজন।	One of them was Zulia and the other was'Dermigal OC '. The man needed that medicine.
আৰু সেই অত্যাধিক বোজাই পাৱাৰ গ্ৰীডসমূহ নষ্ট কৰিব।	And that overload will destroy the power grids.
বৰপেটা জিলাত একেলগে তিনিজনকৈ দুধৰ্ষ জেহাদী গ্ৰেপ্তাৰ হোৱা ঘটনাই স্বাভাৱিকতে চাঞ্চল্যৰ সৃষ্টি কৰিছে জিলাখনত ৷	The arrest of three hardcore Jihadis in the same Barpeta district has naturally created a stir in the district.
লোকসভা নিৰ্বাচনৰ পূৰ্বে কংগ্ৰেছৰ হৈ কেইবাখনো নিৰ্বাচনী প্ৰচাৰ সভাতো অংশ লৈছিল অভিনেত্ৰীগৰাকীয়ে।	The actress also participated in several election rallies for the Congress ahead of the Lok Sabha elections.
কৰদাতা সকলৰ বাবে সুখবৰঃ বাজেটে দিছে এই উপহাৰ	Good News For Taxpayers: Budget Gives This Gift
আমি পূৰ্বৰ প্ৰতিবেদনতে উল্লেখ কৰিছিলো যে, কেৱল গুৱাহাটীৰ প্ৰায় ২০ হেজাৰ সৰু-ডাঙৰ পান দোকানত মুকলিকৈয়ে সুকীয়া-সুকীয়াকৈ ধঁপাত আৰু ৰসায়নিক নিচা মিহলি জৰ্দাজাতীয় পেকেট আৰু ধঁপাত নথকাৰ চুপাৰী আৰু মচলাজাতীয় পেকেট বিক্ৰী হয়।	As we mentioned in the previous report, about 20,000 small and big paan shops in Guwahati alone sell a variety of packaged and non-tobacco souperies and condiments mixed with tobacco and chemical additives.
চিকিৎসালয়খনতে পুৱতি নিশা শেষ নিশ্বাস ত্যাগ কৰে প্ৰাক্তন বিধায়কগৰাকীয়ে।	The former MLA breathed his last at the hospital late last night.
নাগালেণ্ডক পুনৰ ছমাহলৈ অশান্ত অঞ্চল হিচাপে ঘোষণা কৰা হৈছে।	Nagaland has again been declared a disturbed area for six months.
গাঁৱত ক্ৰমাৎ যেন অন্যায় তথা অহিংসামূলক কামবোৰ বৃদ্ধি পাইছে।	Illegal and non-violent activities seem to be on the rise in the village.
নিয়মীয়া বাৰ্তা, ১৪ ফেব্ৰুৱাৰীঃ সমাগত পৌৰসভাৰ নিৰ্বাচনক লৈ বিজেপিৰ ৰাজ‍্যিক সভাপতি ভবেশ কলিতাৰ গৃহ সমষ্টি ৰঙিয়াত শাসকীয় দলটোৰ লগতে মিত্ৰ দল অগপৰ তৎপৰতা।	Regular Message, February 14: The ruling party as well as its ally AGP are up in arms in Rongia, the home constituency of BJP state president Bhabesh Kalita, over the approaching municipal elections.
উল্লেখ্য যে, কা বিৰোধী আন্দোলনৰ পিছৰে পৰা কাৰাবন্দী হৈ আছে অখিল গগৈ।	Notably, Akhil Gogoi has been in jail since the anti-CAA movement.
নিয়মীয়া বাৰ্তা, ১৮ নৱেম্বৰঃ চুবুৰীয়া ৰাজ্যসমূহৰ পৰা কার্বি আংলঙৰ মাজেৰে বিভিন্ন স্থানলৈ নিষিদ্ধ ড্রাগ্ছৰ সৰবৰাহ অব্যাহত ৰখা আন্তঃৰাষ্ট্রীয় ড্রাগ্ছ সৰবৰাহকাৰী চক্রৰ বিৰুদ্ধে আৰক্ষীয়ে ধাৰাবাহিকভাৱে কঠোৰ অভিযান অব্যাহত ৰখাৰ বিপৰীতে বিভিন্ন কৌশলেৰে উক্ত পথেৰে নিষিদ্ধ ড্রাগ্ছ সৰবৰাহ কৰি আছে অপৰাধী চক্রই৷	Regular Message, November 18: While the police continue to crack down on international drug trafficking rings that continue to smuggle contraband drugs from neighbouring states to various places through Karbi Anglong, criminal gangs continue to smuggle contraband drugs through that route with various tactics.
ভাৰতত কোৰোনাত আক্ৰান্তৰ সংখ্যাই পাৰ কৰিলে ৬ হাজাৰৰ ঘৰপঢ়ক সবিশেষ	The number of corona cases in India has crossed 6 thousand household details
এই ঘটনাই প্রমাণ কৰিছে অতি পৰিকল্পিতভাৱে আক্রমণকাৰীসকলে একত্রিত হৈ আছিল৷	This incident proves that the attackers were assembled in a very planned manner.
সপোন দেখি সকলোৱে ভাল পায়।	Everyone likes to dream.
বৈঠকত আন্তঃৰাষ্ট্রীয় বজাৰত কেঁচা সামগ্রীৰ মূল্যবৃদ্ধিৰ বাবে ৰডৰ দাম বৃদ্ধি হোৱাৰ বিষয়টো কোম্পানীকেইটাই উত্থাপন কৰে যদিও মন্ত্রীগৰাকীয়ে আন্তঃৰাষ্ট্রীয় বজাৰত কেঁচা সামগ্রীৰ দাম ঊর্ধ্বমুখী হোৱা নাই বুলি স্পষ্ট কৰি দিয়াৰ লগতে ধীৰ গতিৰেহে বিগত সময়ছোৱাত সামান্য পৰিমাণৰ দাম ঊর্ধ্ব হৈছে বুলি আঙুলিয়াই দিয়ে৷	During the meeting, the issue of increase in prices of rods due to rising prices of raw materials in the international market was raised by the company itself, but the Minister clarified that the prices of raw materials in the international market have not gone up and pointed out that the prices have gone up only marginally in the recent past.
চিকিৎসক, আৰক্ষী, সংবাদ কৰ্মী, ভিভিআইপিৰ নিৰাপত্তাৰক্ষীৰ লগতে ইজনৰ পাছত সিজন লোক কোৰোনাত আক্ৰান্ত হোৱা খবৰ আহিছে।	Doctors, police, media personnel, VVIP security personnel, and one person after another have been reported to be infected with corona.
ব্যতিক্ৰমী মহিলা।	Exceptional women.
মৃত লোকজন হৈছে ঢ়েকিয়াল মলিয়া গাঁৱৰ বিপুল দাস৷	The deceased is Bipul Das of Dhekial Malia village.
লগতে বিজেপি আৰু বিৰোধী ৰাজনৈতিক দলসমূহৰ বিষয়ে আলোচনা কৰা হৈছিল এই পোষ্টসমূহৰ দ্বাৰা।	The posts also discussed the BJP and opposition political parties.
বজালীত মৰিপুৰ আনন্দপুৰ গাঁও পঞ্চায়তৰ কাৰ্যালয় ভৱন উদ্বোধন ৰণজিৎ দাসৰ	Ranajit Das inaugurates office building of Moripur Anandpur Gaon Panchayat at Bajali
আনহাতে ভোটগ্রহণ হ’বলগীয়া ৫ সমষ্টিৰ ভিতৰত ২,১৭,৪৩২জন ভোটদাতাৰে তামুলপুৰ সমষ্টিত আটাইতকৈ অধিক ভোটদাতা থকাৰ বিপৰীতে থাওৰা সমষ্টিত আটাইতকৈ কম ১,১৫,৯৭১জন ভোটদাতা আছে৷	While Tamulpur constituency has the highest number of 2,17,432 voters among the 5 constituencies going to polls, Thowra constituency has the lowest 1,15,971 voters.
এগলত পাছপৰি বিদ্যুত পৰিষদে অইলৰ গলবক্সত হেচা দি কেবাটাও সুযোগ সৃষ্টি কৰে যদিও দূৰ্বল ফিনিছিংৰ বাবে গল লাভ কৰিবলৈ সক্ষম নহল ।	After a goalless first half, Vidyut created a few chances in the Oilers goalbox but could not score due to poor finishing.
এই প্ৰথা পৰম্পৰাৰ ৰূপত প্ৰতি বছৰে ব’হাগ বিহুৰ সময়ত পালনত জোৰ দি অহাটো পৰিলক্ষিত হয়।	This custom is observed in the form of tradition every year during the Bohag Bihu with emphasis on observance.
নিশা শুই থকা অৱস্থাতে বনৰীয়া হাতীৰ গচকত মৃত্যু হয় মহিলাগৰাকীৰ।	The woman was killed by a wild elephant while she was sleeping at night.
লোকজনৰ নাম মহেন্দ্ৰ শইকীয়া।	The man's name is Mahendra Saikia.
অভি-নীল হত্যাকাণ্ডই অতিক্ৰম কৰিলে এটা বছৰ	Abhi-Neel Murder Crosses One Year
’সাংবাদিকৰ সৈতে পূৰ্বৰ পৰম্পৰা অনুসৰি ভাব বিনিময় কৰোতে মুখ্যমন্ত্ৰী সোণোৱালে তেওঁ জাতীয় চেতনাক বিসৰ্জন দিয়া নাই বুলি উল্লেখ কৰি লগতে কৈছিল- ‘মোক অপৰাধী সজোৱা হৈছে।	"""While interacting with the journalists as per the past tradition, Chief Minister Sonowal said that he has not given up on the national spirit and added -"" ""I have been framed."" """""
ট্ৰাকৰ খুন্দাত মৃত্যু হোৱা মহিলাগৰাকীৰ নাম ডঃ ৰুণজুন দুৱৰা।	The woman who died after being hit by the truck has been identified as Dr Runjun Duwarah.
শদিয়া মহকুমাৰ চাপাখোৱা পৌৰসভা, মার্ঘেৰিটা মহকুমাৰ মার্ঘেৰিটা আৰু ডিগবৈ পৌৰসভা৷	Chapakhowa Municipality in Shadia subdivision, Margherita and Aizawl Municipalities in Margherita subdivision.
২২ দফীয়া ব্লুপ্রিণ্ট অনুসৰি কাশ্মীৰ উপত্যকাত থকা সকলো অকাশ্মীৰী তথা বহিৰাগত লোকক আক্রমণ কৰা হ’ব৷	According to the 22nd blueprint, all non-Kashmiris as well as outsiders in the Kashmir Valley will be attacked.
এদল বিজ্ঞানীৰ বিগত প্রায় বিশ বছৰৰ নিৰলস প্রচেষ্টাৰ অন্তত মুকলি কৰিবলৈ লৈছে পৃথিৱীৰ সর্ববৃহৎ টেলিস্কোপটো৷	The world's largest telescope is about to be launched at the end of nearly twenty years of tireless efforts by Edel scientists.
সেই ছচিয়েল মিডিয়া এতিয়া যুৱ প্ৰজন্মৰ লগতে দেশৰ সচেতন মহলে চৰকাৰৰ অপশাসন আৰু জনবিৰোধী আইনৰ বিৰুদ্ধে জনতাক সংগঠিত কৰাৰ কামত লগোৱা ঘটনাই কেইটামান দিনৰ ভিতৰতে আন্তৰাষ্ট্ৰীয় পৰ্যায়তো চৰকাৰৰ ভাৱমূৰ্তি ম্লান কৰিছে।	That social media is now being used by the youth as well as the conscious circles of the country to mobilize the masses against the government's misrule and anti-people laws has within a few days tarnished the image of the government at the international level as well.
পাঁচ হাজাৰ টকা লৈ চাফিনা বিবি নামৰ এগৰাকী ৰোগীক  তেজ বিক্ৰী কৰিবলৈ আহ্ছিল তেজ ব্যৱসায়ী জনে ৷	The blood merchant called a patient named Safina Bibi to sell blood for five thousand rupees.
আনহাতে,স্বাস্থ্যজনীত কাৰণত ছোনিয়া গান্ধীয়ে ৰাজনীতিত তেওঁৰ সক্ৰিয়তা বহু সীমিত কৰিছে।	On the other hand, due to health reasons, Sonia Gandhi has greatly limited her activity in politics.
নিয়মীয়া বাৰ্তা ৩ জানুৱাৰীঃ তৈলনগৰী দুলীয়াজানত আজিৰে পৰা দুদিনীয়াকৈ অনুষ্ঠিত হ’ব আৰক্ষী অধীক্ষক সন্মিলন৷	Regular Message 3rd January: Superintendent of Police Conference will be held for two days from today in Telanagari, Odisha.
থানাত নিয়াৰ পিছত আৰু পৰিয়ালৰ লোকৰ সৈতে কথা পতাৰ পিছত পুৱতি নিশা দুয়ো কিদৰে এনকউণ্টাৰত নিহত হ’ল সেই লৈ আশ্বৰ্য প্ৰকশ কৰে জৌংসাৰৰ পৰিয়ালৰ লোকে।	After being taken to the station and talking to the family members, Jaunsar's family members are shocked as to how the two were killed in an encounter the previous night.
খাৰুপেটীয়াত স্কৰপিঅ বাহনৰ পৰা জব্দ ২.৫০ লাখ টকা	Rs 2.5 lakh seized from Scorpio vehicle in Kharupetia
উল্লেখযোগ্য যে বিশিষ্ট যুব সমাজসেৱক গৰাকী ইতিপূৰ্বে জৰুৰীভাৱে চিকিৎসাধীন হৈ থকা আৰ্থিকভাৱে দুৰ্বল একাধিক পৰিয়াললৈ আগবঢ়োৱা সহযোগত সেই সকলোবোৰ পৰিয়াল তেওঁলৈ কৃতজ্ঞতা প্ৰকাশ কৰে।	Notably, all those families expressed their gratitude for the support extended by the noted youth activist to multiple financially weak families who were earlier undergoing urgent treatment.
